DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:05:43;2022;Processo;64464197;25/09/2022;;0607983-03.2022.6.26.0000;SP;26;SP;2;22/09/2023;;;8;Gabinete do Jurista II;13;Magistrado;11541;Rp;REPRESENTAÇÃO;11680;Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias;Recurso;Interno;0;7;07/jun/23;
03/12/2023;05:05:43;2022;Processo;64278800;25/08/2022;;0604128-16.2022.6.26.0000;SP;26;SP;2;24/10/2023;;;6;Gabinete do Jurista I;11;Magistrado;11541;Rp;REPRESENTAÇÃO;11681;Propaganda Política - Propaganda Eleitoral - Outdoors;Embargos de Declaração;Interno;0;7;05-SEP-23;
03/12/2023;05:05:43;2022;Processo;65117822;25/08/2022;27/02/2023;0604161-06.2022.6.26.0000;SP;26;SP;2;24/01/2023;;;4;Gabinete do Desembargador do Tribunal Regional Federal;14;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Agravo;Externo;0;4;07-FEB-23;
03/12/2023;05:05:43;2022;Processo;65088558;25/08/2022;27/02/2023;0604161-06.2022.6.26.0000;SP;26;SP;2;24/01/2023;;;4;Gabinete do Desembargador do Tribunal Regional Federal;14;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Recurso;Interno;0;4;07-FEB-23;
03/12/2023;05:05:43;2022;Processo;64990812;25/08/2022;27/02/2023;0604161-06.2022.6.26.0000;SP;26;SP;2;24/01/2023;;;4;Gabinete do Desembargador do Tribunal Regional Federal;14;Magistrado;12630;RepEsp;REPRESENTAÇÃO ESPECIAL;12063;Conduta Vedada ao Agente Público;Embargos de Declaração;Interno;0;4;07-FEB-23;
03/12/2023;05:05:43;2022;Processo;65063367;13/09/2022;;0606882-28.2022.6.26.0000;SP;26;SP;2;25/11/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;2;16-DEC-22;
03/12/2023;05:05:43;2022;Processo;65063368;13/09/2022;;0606882-28.2022.6.26.0000;SP;26;SP;2;25/11/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Recurso;Interno;0;2;16-DEC-22;
03/12/2023;05:05:43;2022;Processo;64409672;05/09/2022;;0604287-56.2022.6.26.0000;SP;26;SP;2;30/01/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Embargos de Declaração;Interno;0;9;17/mar/23;
03/12/2023;05:05:43;2022;Processo;64299164;05/09/2022;;0604287-56.2022.6.26.0000;SP;26;SP;2;30/01/2023;;;7;Gabinete do Desembargador do Tribunal de Justiça;7;Magistrado;11541;Rp;REPRESENTAÇÃO;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Recurso;Interno;0;9;17/mar/23;
03/12/2023;05:05:43;2022;Processo;65165791;14/09/2022;23/03/2023;0607676-49.2022.6.26.0000;SP;26;SP;2;14/09/2022;;;5;Gabinete do Juiz de Direito I;4;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Agravo;Externo;0;4;09/mar/23;
